股票代码,描述
000032,"深圳市桑达实业股份有限公司主营业务包含数字与信息服务业务、高科技产业工程服务、数字供热与新能源服务及其他业务。公司主要产品包括数字与信息服务、高科技产业工程服务、数字供热与新能源服务。公司多次获得全国洁净工程行业“鲁班奖”（同行业内首位获得者）、优秀施工企业、全国安装行业先进企业、中国电子百强三甲等多项荣誉。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000034,"神州数码集团股份有限公司主营业务为云计算和数字化转型业务、自主品牌业务、IT 分销及增值服务业务。主要产品为消费电子业务、企业增值业务、云计算及数字化转型业务、自主品牌业务。神州数码在信创领域进行了前瞻布局和深入探索，并获得多项殊荣。在《互联网周刊》发布的2023信创产业分类排行中，公司位列“2023信创服务器企业排行”、“2023信创PC整机企业排行”、“2023信创云厂商排行”等多个榜单前列。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000035,"中国天楹股份有限公司主要从事环保业务、新能源业务。公司的主要产品及服务为垃圾焚烧发电、城乡环境卫生服务、环保装备制造、新能源发电、新型重力储能、风光储氢氨醇一体化。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000036,"华联控股股份有限公司主营业务是房地产开发和物业经营与服务管理业务。公司主要产品及服务包括房产销售、房地产出租、酒店业务。公司目前房地产开发业务主要集中在深圳、杭州等城市，物业经营与服务管理业务主要集中在深圳、杭州、上海等区域。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000037,"深圳南山热电股份有限公司主营业务为生产经营供电、供热，从事发电厂(站)的相关技术咨询和技术服务。公司主要产品及服务为电力生产销售、综合能源服务。公司拥有3家全资或控股燃机发电厂，现有7套9E型燃气－蒸汽联合循环发电机组，总装机容量126万千瓦（其中：南山热电厂3×18万千瓦、中山南朗电厂2×18万千瓦、东莞高埗电厂2×18万千瓦）。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000038,"深圳大通实业股份有限公司在现有业务基础上，积极通过内部资源整合、外部并购融合等方式，拓展和延伸了公司的产业板块，形成了以生物科技、大健康产业、供应链服务及民间资本管理三大业务板块。公司的主要产品和服务包括：CBD全谱油、CBD广谱油、THC未检出广谱油、高纯度CBD晶体，CBDV晶体及CBN、CBG等产品、化妆品销售服务、供应链管理服务。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000039,"中国国际海运集装箱(集团)股份有限公司是全球领先的物流及能源行业设备及解决方案供应商，产业集群主要涵盖物流领域及能源行业领域。在物流领域，本集团仍然坚持以集装箱制造业务为核心，孵化出道路运输车辆业务、空港与物流装备/消防与救援设备业务，辅之以物流服务业务及循环载具业务提供物流专业领域的产品及服务；在能源行业领域，本集团主要从能源/化工/液态食品装备业务、海洋工程业务方面开展；同时，本集团也在不断开发新兴产业并拥有服务本集团自身的金融及资产管理业务。公司主要产品包括国际标准干货集装箱、冷藏集装箱、特种集装箱、罐式集装箱、集装箱木地板、公路罐式运输车、天然气加工处理应用装备和静态储罐、道路运输车辆...查看全部▼中国国际海运集装箱(集团)股份有限公司是全球领先的物流及能源行业设备及解决方案供应商，产业集群主要涵盖物流领域及能源行业领域。在物流领域，本集团仍然坚持以集装箱制造业务为核心，孵化出道路运输车辆业务、空港与物流装备/消防与救援设备业务，辅之以物流服务业务及循环载具业务提供物流专业领域的产品及服务；在能源行业领域，本集团主要从能源/化工/液态食品装备业务、海洋工程业务方面开展；同时，本集团也在不断开发新兴产业并拥有服务本集团自身的金融及资产管理业务。公司主要产品包括国际标准干货集装箱、冷藏集装箱、特种集装箱、罐式集装箱、集装箱木地板、公路罐式运输车、天然气加工处理应用装备和静态储罐、道路运输车辆、循环载具、自升式钻井平台、半潜式钻井平台、特种船舶、旅客登机桥及桥载设备、机场地面支持设备、消防及救援车辆设备、自动化物流系统、智能停车系统的设计、制造及服务。多维度的产业集群，旨在为物流、能源行业提供高品质与可信赖的装备和服务，为股东和员工提供良好回报，为社会创造可持续价值。根据行业权威分析机构德路里（Drewry）最新发布的《2023/24年集装箱设备普查与租赁市场年报》，本集团的标准干货集装箱、冷藏箱、特种集装箱产量均保持全球第一；根据国际罐式集装箱协会《2023年全球罐式集装箱市场规模调查》，本集团的罐式集装箱的产量保持全球第一；根据《Global Trailer》发布的《2023年全球半挂车OEM排名榜单》，中集车辆是全球排名第一的半挂车生产制造商；本集团子公司中集天达为全球登机桥主要供货商之一；本集团亦是中国高端海洋工程装备企业之一。2019年，本公司荣获由中国社科院、南方周末颁发的中国企业社会责任“杰出责任企业”，和由广东省企业联合会颁发的“广东省企业500强”第24位等奖项。收起▲Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000040,"东旭蓝天新能源股份有限公司的主营业务是新能源业务和生态环保业务。主要产品为电力。公司还荣获“绿能星安全高效光伏”和“绿能星智慧化解决方案”等重要行业奖项，品牌价值进一步提升。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000046,"泛海控股股份有限公司从事的主要业务为金融业务和房地产业务。主要产品与服务为房地产销售、物业出租、物业管理、金融业务等。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000048,"深圳市京基智农时代股份有限公司的主营业务为生猪养殖与销售；饲料生产与销售；种鸡、肉鸡养殖与销售；房地产开发。主要包括：种猪、肉猪养殖与销售；种鸡、肉鸡养殖与销售；饲料生产与销售；房地产开发。公司的主要产品为全价饲料、浓缩料、预混饲料、自来水、出租车客运服务、禽业产品、猪业产品、房屋及土地租赁、物业管理、商品房、成品鱼、金融、装修、商业贸易。公司先后荣获“广东省重点农业龙头企业”“深圳质量百强企业”“深圳知名品牌”“深圳市菜篮子基地”和“广东省守合同重信用企业”称号，且多项产品获得省级“名牌产品”称号；下属子公司广东京基智农科技和惠州京基智农也分别荣获“广东省重点农业龙头企业”称号；公司旗下麻黄...查看全部▼深圳市京基智农时代股份有限公司的主营业务为生猪养殖与销售；饲料生产与销售；种鸡、肉鸡养殖与销售；房地产开发。主要包括：种猪、肉猪养殖与销售；种鸡、肉鸡养殖与销售；饲料生产与销售；房地产开发。公司的主要产品为全价饲料、浓缩料、预混饲料、自来水、出租车客运服务、禽业产品、猪业产品、房屋及土地租赁、物业管理、商品房、成品鱼、金融、装修、商业贸易。公司先后荣获“广东省重点农业龙头企业”“深圳质量百强企业”“深圳知名品牌”“深圳市菜篮子基地”和“广东省守合同重信用企业”称号，且多项产品获得省级“名牌产品”称号；下属子公司广东京基智农科技和惠州京基智农也分别荣获“广东省重点农业龙头企业”称号；公司旗下麻黄鸡、香鸡两大肉鸡产品分别获得“圳品”标识，被列为首批“供深食品”。收起▲Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
