股票代码,描述
000976,"广东华铁通达高铁装备股份有限公司主营业务是轨道交通装备制造。公司的主要产品为给水卫生系统及配件、辅助电源系统及配件、检修系统、制动闸片、贸易配件。公司成为全球最大的轨道保养设备制造商美国哈斯科铁路公司在中国区的独家代理商，为中国铁路总公司、各路局及城市地铁公司提供轨道维护，以及多款相关配件的销售和维护服务。公司是国内在轨道交通领域为客户提供给水卫生系统、座椅、备用电源系统和制动闸片等智能、节能、环保的解决方案的主要企业之一。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000977,"浪潮电子信息产业股份有限公司是全球领先的数据中心IT基础架构产品、方案和服务提供商，以“智慧计算”为战略，通过“硬件重构+ 软件定义”的算力产品和解决方案、构建开放融合的计算生态，为客户构建满足多样化场景的智慧计算平台，全面推动人工智能、大数据、云计算、物联网的广泛应用和对传统产业的数字化变革与重塑。通过不断完善基于客户需求的服务器软硬件研发体系,公司目前已形成具有自主知识产权、涵盖高中低端各类型服务器的云计算Iaas层系列产品,为云计算IaaS层提供计算力平台支撑。公司开发的双翼可扩展多处理器紧耦合共享存储器体系结构，实现多平面互连冗余及互连网络单跳步32路扩展，是我国第一个获得国际PCT专...查看全部▼浪潮电子信息产业股份有限公司是全球领先的数据中心IT基础架构产品、方案和服务提供商，以“智慧计算”为战略，通过“硬件重构+ 软件定义”的算力产品和解决方案、构建开放融合的计算生态，为客户构建满足多样化场景的智慧计算平台，全面推动人工智能、大数据、云计算、物联网的广泛应用和对传统产业的数字化变革与重塑。通过不断完善基于客户需求的服务器软硬件研发体系,公司目前已形成具有自主知识产权、涵盖高中低端各类型服务器的云计算Iaas层系列产品,为云计算IaaS层提供计算力平台支撑。公司开发的双翼可扩展多处理器紧耦合共享存储器体系结构，实现多平面互连冗余及互连网络单跳步32路扩展，是我国第一个获得国际PCT专利授权的主机体系结构技术。收起▲Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000978,"桂林旅游股份有限公司主要从事旅游服务及与旅游服务相关的业务。公司主要产品包括游船客运、景区旅游业务、酒店、公路旅行客运及出租车业务等.公司是桂林市最大的上市旅游企业集团。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000980,"众泰汽车股份有限公司是以汽车整车研发、制造及销售为核心业务的汽车整车制造企业，以市场为导向，不断丰富和完善业务范围，提升自主创新实力，逐渐成长为具有核心竞争优势的汽车产业民族自主品牌。公司拥有众泰、江南、君马等自主品牌，产品覆盖SUV、轿车、MPV和新能源汽车四个细分市场，SUV板块广受市场追捧和消费者的喜爱。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000981,"山子高科技股份有限公司主营业务为整车业务和高端制造业,其中高端制造业专注于研发,生产和销售汽车变速器，主要产品为无级变速器(CVT)，同时致力于研发双离合变速器(DCT),混合动力总成系统和纯电动动力总成系统。山子高科建立从高端零部件制造、整车制造、出行服务到半导体材料的高端制造产业链生态圈。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000982,"宁夏中银绒业股份有限公司主营业务是为羊绒和羊绒制品贸易，新能源锂电池正极材料生产销售、负极材料石墨化加工业务、特种石墨材料业务以及锂电池应用端二轮车换电业务。主要产品以天然动、植物纤维为主要原材料,制成品涵盖纱线、面料、成衣、服饰等针织及梭织产品,包括各类精纺、粗纺纺织品，磷酸铁锂,石墨生坯及焙烧品等。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000983,"山西焦煤能源集团股份有限公司主营业务是煤炭的生产、洗选加工、销售及发供电，矿山开发设计施工、矿用及电力器材生产经营等。公司主要产品有焦煤、肥煤、瘦煤、贫瘦煤、气煤、电力热力、焦炭及化工产品。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000985,"大庆华科股份有限公司主营业务是石油化工产品的生产和销售，进出口业务及仓储保管服务等其它业务。主要产品是C9系列石油树脂、C5系列石油树脂、精制乙腈、聚丙烯粉料、改性聚烯烃塑料等。公司共获得国家专利13项，其中国家发明专利8项，已全部实现产业化，产品技术均处于国内领先水平，公司C5石油树脂、C9石油树脂、加氢戊烯、精制乙腈、轻重芳烃等主要产品核心技术均为自有专利技术，并实现产业化批量生产。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000987,"广州越秀资本控股集团股份有限公司主营业务包括不良资产管理、融资租赁、私募基金管理和资本投资等业务。公司主要产品和服务为不良资产管理业务、融资租赁业务、投资管理业务、期货业务、新能源业务。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000989,"九芝堂股份有限公司的主营业务是中药研发、生产和销售，逐步探索布局干细胞、中医医疗健康服务、药食同源系列产品等。公司的主要产品是传统中药类“九芝堂”牌系列产品、现代中药类“友搏”牌系列产品、生物制剂产品“斯奇康”及药食同源系列产品。公司是国家重点医药企业、国家重点高新技术企业、国家创新型试点企业、国家博士后科研工作站、国家中医药管理局中医药工程学重点学科建设单位。公司前身“劳九芝堂药铺”始创于1650年，现拥有“九芝堂”、“友搏”中国驰名商标；“九芝堂”被国家商务部认定为“中华老字号”；九芝堂传统中药文化被列入国家级非物质文化遗产保护目录。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000990,"诚志股份有限公司的主营业务为工业用化工产品的生产与销售，半导体显示用混合液晶材料和显示用玻璃加工，生物制药及医药中间体产品、助洗剂等日用化工产品的生产和销售以及化工原料的相关贸易和医疗健康服务。公司提供的主要产品和服务包括CO,氢气及合成气,乙烯,丙烯,丁醇,辛醇和异丁醛,TN,STN等单色液晶材料,TFT-LCD液晶材料和OLED材料,D-核糖,L-谷氨酰胺,工业大麻,提供诊断,治疗等医疗服务。子公司诚志生命携力搏士多款产品亮相被誉为行业发展“风向标”的中国国际健康营养博览会（NHNE），力搏士凭借品牌力、创新力、科技力、市场力及产品的配料、质量、创新、工艺、卖点等多维度优势，从700多个参...查看全部▼诚志股份有限公司的主营业务为工业用化工产品的生产与销售，半导体显示用混合液晶材料和显示用玻璃加工，生物制药及医药中间体产品、助洗剂等日用化工产品的生产和销售以及化工原料的相关贸易和医疗健康服务。公司提供的主要产品和服务包括CO,氢气及合成气,乙烯,丙烯,丁醇,辛醇和异丁醛,TN,STN等单色液晶材料,TFT-LCD液晶材料和OLED材料,D-核糖,L-谷氨酰胺,工业大麻,提供诊断,治疗等医疗服务。子公司诚志生命携力搏士多款产品亮相被誉为行业发展“风向标”的中国国际健康营养博览会（NHNE），力搏士凭借品牌力、创新力、科技力、市场力及产品的配料、质量、创新、工艺、卖点等多维度优势，从700多个参选品牌和产品中脱颖而出，最终斩获NHNE2024营养星球奖“年度影响力品牌银奖”。收起▲Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000993,"福建闽东电力股份有限公司主营业务为电力生产与开发。主要包括水力和风力发电。公司目前所属十一家水力发电分公司、三家水力发电控股子公司、三家风力发电控股子公司。公司下属二十二座水力发电站分布在福建省宁德市除古田县以外的其他县（市、区），并主要向宁德市电业局或其下属各供电分公司趸售上网电量；公司目前拥有控股风电场4个，非控股风电场1个，在建风电场1个，主要向辽宁省电力公司、吉林省电力公司、福建省电力公司趸售上网电量。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000995,"甘肃皇台酒业股份有限公司的主营业务为白酒酿造与销售；葡萄酒酿造与销售；酿酒葡萄种植.公司主要产品有粮食白酒、葡萄酒等。公司是武威第一家上市公司，也是甘肃省唯一一家集名优白酒、名优葡萄酒一身的上市公司，现有职工1100多人。公司技术设备先进，检测手段完善、管理体系科学、规模示范效益和品牌效益显著，是甘肃省及西北五省区创优最多的企业。凉州皇台酒荣获包括第二届巴拿马特别金奖在内的国际、国内酒类最高奖项100多项，享有“南有茅台，北有皇台”的美誉。公司荣获全国优秀轻工业企业、全国轻纺系统先进企业、全国法制宣传教育先进企业、省级文明单位、甘肃省优秀企业、""重合同守信用""单位，中国白酒工业100强企业、“...查看全部▼甘肃皇台酒业股份有限公司的主营业务为白酒酿造与销售；葡萄酒酿造与销售；酿酒葡萄种植.公司主要产品有粮食白酒、葡萄酒等。公司是武威第一家上市公司，也是甘肃省唯一一家集名优白酒、名优葡萄酒一身的上市公司，现有职工1100多人。公司技术设备先进，检测手段完善、管理体系科学、规模示范效益和品牌效益显著，是甘肃省及西北五省区创优最多的企业。凉州皇台酒荣获包括第二届巴拿马特别金奖在内的国际、国内酒类最高奖项100多项，享有“南有茅台，北有皇台”的美誉。公司荣获全国优秀轻工业企业、全国轻纺系统先进企业、全国法制宣传教育先进企业、省级文明单位、甘肃省优秀企业、""重合同守信用""单位，中国白酒工业100强企业、“食品安全信用体系建设试点工作先进单位”等荣誉称号。收起▲Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000996,"中国中期投资股份有限公司主营业务为汽车服务业务。主要包括品牌汽车及配件销售、汽车维修、汽车养护美容、信息咨询服务、汽 车金融服务、汽车保险经纪、汽车电子商务等服务业务。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000997,"新大陆数字技术股份有限公司的主营业务是智能终端集群和行业数字化集群两个板块。公司的主要产品包括商户运营及增值服务、电子支付产品及信息识读产品、行业应用与软件开发及服务。公司荣获福建省数字经济领域“未来独角兽”创新企业、福厦泉国家自主创新示范区平台项目，思必拓SC55G新一代智能防爆手持终端获2023第二十届“IOTE金奖”创新产品等荣誉。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000998,"袁隆平农业高科技股份有限公司主营业务是杂交水稻、玉米和小麦三大主粮作物种业板块。公司主要产品包括水稻种子、玉米种子、蔬菜瓜果种子、向日葵种子、杂谷种子、农化、棉花、油菜。公司是国内首批“育繁推一体化”种子企业之一，先后被认定为“国家企业技术中心”、“国家创新型试点企业”、“农业产业化国家重点龙头企业”、中国种子行业“十年AAA信用企业”等。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000999,"华润三九医药股份有限公司主要从事医药产品的研发、生产、销售及相关健康服务。主要产品包括999感冒灵、999皮炎平、参附注射液、注射用头孢、免煎中药、三九胃泰颗粒、正天丸等。“999”主品牌在消费者和医药行业中均享有较高的认可度，多次被评为“中国最高认知率商标”、“中国最有价值品牌”。2021年公司拥有年销售额过亿元的品种23个，在2021年度中国非处方药产品综合统计排名中，“999感冒灵”和“999复方感冒灵”位居中成药感冒咳嗽类的第一名和第二名，“三九胃泰”位居中成药消化类第六名，“999皮炎平（红）”位居化学药皮肤科类第二名，“澳诺钙”位居化学药矿物质类第二名，“易善复”位居化学药消化类第...查看全部▼华润三九医药股份有限公司主要从事医药产品的研发、生产、销售及相关健康服务。主要产品包括999感冒灵、999皮炎平、参附注射液、注射用头孢、免煎中药、三九胃泰颗粒、正天丸等。“999”主品牌在消费者和医药行业中均享有较高的认可度，多次被评为“中国最高认知率商标”、“中国最有价值品牌”。2021年公司拥有年销售额过亿元的品种23个，在2021年度中国非处方药产品综合统计排名中，“999感冒灵”和“999复方感冒灵”位居中成药感冒咳嗽类的第一名和第二名，“三九胃泰”位居中成药消化类第六名，“999皮炎平（红）”位居化学药皮肤科类第二名，“澳诺钙”位居化学药矿物质类第二名，“易善复”位居化学药消化类第二名。以公司产品“参附注射液”，“红花注射液”、“参麦注射液”，“血塞通软胶囊（理洫王）”为研究对象的科研项目先后荣获国家科学技术进步奖二等奖。收起▲Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
001201,"东瑞食品集团股份有限公司主营业务为生猪的养殖和销售,主要产品为商品猪、仔猪、种猪等。此外,公司自行生产生猪养殖所需的饲料,并有部分饲料对外销售。公司是内地供港活大猪前三大供应商之一和粤港澳大湾区“菜篮子”生产基地。公司被评定为农业产业化国家重点龙头企业、国家生猪核心育种场、畜禽养殖废弃物资源化利用“种养结合示范基地”、农业部畜禽标准化示范场、农业部生猪标准化示范场、粤港澳大湾区“菜篮子”生产基地,并当选中国畜牧业协会猪业分会副会长单位。公司荣获第十四届中国国际农产品交易会参展农产品金奖。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
001202,"广东炬申物流股份有限公司主营业务一直专注于有色金属物流领域,为客户提供集物流方案设计、运输、仓储装卸、期货交割与标准仓单制作、货权转移登记、仓储管理输出为一体的多元化综合物流服务。公司的主要产品为多式联运及衍生业务、代理运输、自营运输、仓储综合业务。公司入选“中物联全国数字化仓库企业试点（第五批）”企业、“中物联全国数字化仓库标杆单位（第一批）”初选单位。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
001203,"大中矿业股份有限公司主营业务为铁矿石采选、铁精粉和球团生产销售、副产品机制砂石的加工销售。主要产品为铁精粉和球团。公司拥有内蒙和安徽两大矿山基地，经国土资源管理部门备案的铁矿石储量合计52,245.28万吨，TFe平均品位不低于28.87%的占比为80.04%。凭借多年积累的采选技术优势和丰富的矿产资源优势，公司已成为国内规模较大的铁矿石采选企业，被评为国家级绿色矿山企业、中国冶金矿山企业50强。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
001205,"南京盛航海运股份有限公司主要从事国内沿海、长江中下游液体化学品、成品油水上运输业务。公司的主要服务为化学品运输、油品运输。公司是国内液体化学品航运龙头企业之一。公司是交通运输企业安全生产标准化建设一级达标单位、中国船东协会化工运输委员会副会长单位，近几年多次获得中国物流与采购联合会颁发的“金罐奖暨安全管理奖”，系江苏省重点物流企业。公司因优质的服务质量，获得客户的高度认可，被中国石化化工销售有限公司评为“标杆物流服务商”、中国石油华南化工销售公司评为“最佳物流服务商”。公司船舶陆续通过了国际化学品分销协会（CDI）、壳牌、BP、BASF等国际大型石化企业以及中石化、中海油等公司的检查认证。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
001206,"天津市依依卫生用品股份有限公司主要从事一次性卫生护理用品及无纺布的研发、生产和销售，其中，一次性卫生护理用品包括宠物卫生护理用品和个人卫生护理用品。宠物卫生护理用品包括宠物垫、宠物尿裤、宠物清洁袋、宠物湿巾、宠物垃圾袋等，个人卫生护理用品包括卫生巾、护理垫、纸尿裤、口罩等。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
001207,"山东联科科技股份有限公司的主营业务是从事二氧化硅产品和炭黑产品的研发、生产与销售。公司的主要产品包括二氧化硅、炭黑等。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
001209,"广东洪兴实业股份有限公司主要从事家居服饰的研发、设计、生产及销售；主要产品包括家居服、内衣内裤及其他相关产品。2019年荣获中国纺织品商业协会内衣委员会“中国内衣新零售杰出贡献奖”，同时公司多次被中国纺织品商业协会家居服委员会选为“副会长单位”。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
001210,"金房能源集团股份有限公司是国内知名的暖通节能服务提供商,专注于节能供热领域,主要从事热力供应、蓄冷储能、智慧节能等相关业务。公司主要产品及服务包括数字信息化管控系统、集装箱装配式冷站、智慧节能技术。公司曾获得中国建筑业协会评选的“全国建筑节能技术创新企业”等多项荣誉。公司自研产品“分布式变频二级泵供热系统”荣获科技部批准设奖的“绿色技术产品优秀奖”、“GPRS无线温度远传供热系统”荣获“数字城市技术产品优秀奖”。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
001211,"双枪科技股份有限公司的主营业务为日用餐厨具的生产、销售。公司的主要产品为竹筷、木筷、抗菌高分子复合材料筷、抗菌不锈钢筷、植物纤维复合材料筷、竹砧板、木砧板、复合材料砧板、牙签、棉签、竹勺铲、木勺铲、木柄不锈钢勺铲、硅胶勺铲、复合材料勺铲、擀面杖、厨房刀架、垫子、刀、砧板架、植物纤维提取物及PLA合成材料餐厨具。截至报告期末，公司及下属子公司共计拥有55项发明专利、147项实用新型和259项外观专利，曾荣获“国家知识产权优势企业”“省级高新技术企业研究开发中心”、“浙江省专利示范企业”、“第二届中国绿色产业博览会金孔雀奖”、“浙江省专精特新中小企业”等殊荣。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
001212,"广东中旗新材料股份有限公司是一家专业从事人造石英石装饰材料研发、生产、销售和服务的高新技术企业，主要产品是人造石英石板材和人造石英石台面，产品广泛应用于厨房、卫浴、酒店、商场等室内装饰装修领域。公司被全国工商联家具装饰业商会评为“中国橱柜行业‘质量诚信’建设体系台面首选品牌”。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
001213,"中铁特货物流股份有限公司以服务经济发展、服务人民生活为己任，以建设铁路特货现代物流企业，做强做优做大特货物流业务为发展目标，致力于为客户提供安全、快捷、优质的全程物流服务。公司主营业务为特种货物物流服务，公司主要产品及服务为商品汽车物流、冷链物流和大件货物物流业务板块。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
001215,"郑州千味央厨食品股份有限公司的主营业务为面向餐饮企业的速冻面米制品的研发、生产和销售。公司的主要产品为油条、芝麻球、蛋挞皮、地瓜丸、卡通包。2019年，公司荣获百胜中国“质量管理贡献奖”、“金厨师奖”和“技术研发奖”等荣誉。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
001216,"湖南华联瓷业股份有限公司主营业务为陶瓷制品的研发，设计，生产和销售。公司产品以色釉炻瓷，釉下五彩瓷等日用陶瓷为主，同时涉及电瓷和陶瓷新材料等工业陶瓷的生产经营。公司走品牌战略之路，明确“做品牌就是做百年企业”，成功打造了“华联”，“红官窑”和“IJARL”等知名品牌。2023年公司新获国家级陶瓷创意与品牌设计中心称号，国家知识产权示范企业称号，全资子公司红官窑新获省级工业设计中心称号，省级企业技术中心称号。“华联日用陶瓷”入选2023年度“湖南名品”。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
001217,"安徽华尔泰化工股份有限公司自成立以来一直致力于化工产品的研发、生产与销售，已发展成为以合成氨、硝酸、硫酸、双氧水等基础化工产品为基础，以精细化工产品为方向的综合型化工企业。公司设立了省级博士后科研工作站（博士后创新实践基地）、省级企业研发中心、省级煤气化合成氨多联产工程技术研究中心和池州市“322“产业创新团队，先后获得“国家知识产权优势企业”、“安徽省优秀民营企业”、“安徽省技术创新示范企业”、“安徽省节能先进企业”、“安徽省安全生产先进单位”等荣誉。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
001218,"湖南丽臣实业股份有限公司主营业务为表面活性剂和洗涤用品的研发、生产及销售。公司主要产品有表面活性剂产品、洗涤用品产品。2023年公司主要表面活性剂产品产销量行业排名位列全国前二。公司旗下“AW”、“光辉”、“马头”等品牌曾多次被认定为湖南省著名商标，“AW”商标被国家工商总局认定为中国驰名商标。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
001219,"青岛食品股份有限公司主要从事饼干与花生酱等休闲食品的研发、生产及销售。公司主要产品包括“青食”品牌钙奶饼干、“青食”品牌休闲饼干和“海友”品牌花生酱，同时亦通过OEM模式代工生产少量花生酱产品。公司是国内区域性饼干龙头企业，产品在山东地区具有较高的品牌知名度和美誉度。公司是中国焙烤食品糖制品工业协会认定的“中国焙烤食品糖制品行业（饼干）十强企业”，也是中国国家标准化管理委员会与中华人民共和国国家质量监督检验检疫总局联合发布的国家标准——《饼干》（GB/T 20980-2007）的起草单位之一，在国内饼干行业中具有重要地位。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
001222,"温州源飞宠物玩具制品股份有限公司的主营业务为宠物用品和宠物零食的研发、生产和销售，主要产品包括宠物零食、宠物牵引用具、宠物注塑玩具等系列产品。公司与国际知名的专业宠物连锁店和大型连锁零售商有长期、稳定且连续的合作，如美国宠物用品零售巨头Petco和PetSmart、欧洲知名的宠物连锁超市Pets at Home以及国际大型连锁零售商Walmart、Target等，并通过向上述企业销售贴牌产品的方式实现终端销售。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
001223,"欧克科技股份有限公司主营业务是生活用纸智能装备和新能源锂电智能装备的研发、生产、销售与服务，为客户提供全自动智能装备及综合解决方案。主要产品是生活用纸智能装备、生活用纸薄膜包装材料、新能源锂电智能装备等。生活用纸智能装备主要包括全自动抽取式纸巾生产线、全自动卷纸生产线、全自动手帕纸生产线等。公司是工信部中小企业局认定的第三批专精特新“小巨人”企业，并获得了江西省工业和信息化厅（原江西省工业和信息化委员会）颁发的“2019年省级专业化小巨人企业”、“江西省智能制造试点示范企业”及“2021年江西省服务型制造示范企业”称号。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
001225,"杭州和泰机电股份有限公司的主营业务是物料输送设备的研发、设计、制造和销售；公司主要产品为物料输送设备及配件;公司致力于为客户提供优质的产品及服务，陆续通过ISO9001：2015国际质量管理体系认证、ISO10012：2003国际测量管理体系认证。长期稳定的质量使得“和泰”品牌在行业内享有良好的品牌知名度和美誉度，为公司国内外市场业务发展奠定了良好的基础。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
001226,"安徽拓山重工股份有限公司的主营业务为工程机械零部件及总成研发、设计、生产、销售与服务。主要产品为链轨节、销套、支重轮、销轴、制动装置、转向离合器、斗齿总成等。公司共拥有59项专利，其中发明专利2项、实用型57项，掌握链轨节精切技术、复合切边冲孔技术、销套模架技术等核心技术，具备较强的产品研发和制造能力。取得国家工信部授予的“‘专精特新’小巨人”称号。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
001227,"兰州银行股份有限公司（简称“兰州银行”）主营业务为公司银行业务、零售银行业务、普惠金融业务、金融市场业务、理财业务、网络金融业务、金融科技、兰银租赁。本行的主要业务包括公司银行业务、个人银行业务、资金业务、其他业务等。兰州银行先后荣获“全国银行业金融机构小企业贷款工作先进单位”、“中国中小企业金融服务十佳机构”、“中国中小企业金融服务十佳机构”、“年度最佳小微金融服务中小银行奖”等多项荣誉称号。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
001229,"广东魅视科技股份有限公司致力于不断提升图像应用技术和视音频联结能力，为视音频信号的接入采集、传输交换、分析处理和调度呈现等提供软硬件相结合的专用视听产品。公司主要产品为IP分布式系统、光纤分布式系统、无缝切换矩阵、可视化拼接处理系统、智能多媒体中央控制系统。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
001230,"劲旅环境科技股份有限公司的主营业务是环境卫生领域的投资运营管理服务及装备制造。主要服务是清扫保洁、生活垃圾分类收集转运、厕所管护。主要产品是环卫车辆、垃圾压缩设备、深埋式垃圾桶、厕所类产品、农村污水处理设备。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
001231,"农心作物科技股份有限公司的主营业务为农药制剂产品的研发、生产与销售，主要产品包括杀虫剂、杀菌剂和除草剂。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
001235,"武汉里得电力科技股份有限公司是配网不停电作业专用车辆、专用设备、专用工具、专业服务和系统解决方案的提供者，公司共拥有旁路负荷转移车、旁路电缆车、旁路开关车、绝缘斗臂车等13种配网不停电作业专用车辆，以及不停电作业旁路系统、绝缘杆操作工具、安防工具、配网不停电作业工程服务等多种专用设备、专用工具和专业服务。公司产品技术获得了行业及主要客户国家电网和南方电网的广泛认可，曾获得中国电力企业联合会2019年度电力科技创新奖技术类二等奖、国家电网2018年度科学技术进步三等奖和南方电网2018年度科学技术进步三等奖。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
001236,"弘业期货股份有限公司主营业务是商品期货经纪、金融期货经纪、期货投资咨询、资产管理、基金销售。此外，本公司还从事金融资产投资业务。公司通过两大分部运营，期货经纪及资产管理分部代表客户参与大宗商品期货与金融期货的交易以及开发及销售资产管理产品及服务。该分部还从事理财产品、上市证券及非上市证券的投资业务。大宗商品交易及风险管理分部提供大宗商品购买及转售以及期货套利及套期保值服务。公司获得荣誉有乡村振兴特别贡献单位、2023江苏企业社会责任典范、2023年金融系统学雷锋活动示范点、江苏金科委2023年度数字化转型先进单位、2023年度成长突破奖、优秀会员奖、优秀会员奖、上期“强源助企”贡献奖、上期“强...查看全部▼弘业期货股份有限公司主营业务是商品期货经纪、金融期货经纪、期货投资咨询、资产管理、基金销售。此外，本公司还从事金融资产投资业务。公司通过两大分部运营，期货经纪及资产管理分部代表客户参与大宗商品期货与金融期货的交易以及开发及销售资产管理产品及服务。该分部还从事理财产品、上市证券及非上市证券的投资业务。大宗商品交易及风险管理分部提供大宗商品购买及转售以及期货套利及套期保值服务。公司获得荣誉有乡村振兴特别贡献单位、2023江苏企业社会责任典范、2023年金融系统学雷锋活动示范点、江苏金科委2023年度数字化转型先进单位、2023年度成长突破奖、优秀会员奖、优秀会员奖、上期“强源助企”贡献奖、上期“强源助企”-2023年度“提升期权市场运行质量”三等奖、2023年天然橡胶“保险+期货”项目二等奖、2023年度江苏省高质量发展标杆企业。收起▲Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
001238,"浙江正特股份有限公司是一家集户外休闲家具及用品研发、生产、销售业务。公司产品主要用于家庭庭院、露台、餐馆、酒吧、海滩、公园、酒店等休闲场所，为人们营造舒适、时尚、高品质的户外休闲环境。公司是国内最早一批从事户外休闲家具及用品行业的高新技术企业之一，凭借渠道、质量、技术、规模等竞争优势，在行业内取得了较高的市场地位。通过引进先进生产设备以及专业人才，形成自主特色的产品设计理念以及生产工艺技术，具备为海外企业和用户提供高品质户外休闲家具及用品的实力。公司是一家致力于产品自主研发、制造和销售的高新技术企业，具有较高的技术开发水平和较强的产品研发能力，是浙江省专利示范企业。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
001239,"湘潭永达机械制造股份有限公司的主营业务为大型专用设备金属结构件的设计、生产和销售。公司的产品为隧道掘进及其配套设备产品、工程机械设备产品、风力发电设备产品。公司在铁建重工、明阳智能、国电联合动力、湖南湘电动力有限公司、江苏中车电机有限公司、中联重科建筑起重机械有限责任公司的同类采购中金额排名领先，是客户的重点采购来源，产品质量受到客户认可。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
001255,"浙江博菲电气股份有限公司的主营业务为电气绝缘材料等高分子复合材料的研发、生产与销售。公司主要产品包括绝缘树脂、槽楔与层压制品、纤维制品、云母制品、绑扎制品、复合材料绝缘件。公司共拥有101项发明专利、25项实用新型专利。先后承担了国家火炬计划产业化示范项目、省级新产品试制计划项目、浙江省重点研发计划项目等重点科研项目，并荣获海宁市市长质量奖、浙江省科学技术奖、浙江省优秀工业新产品奖、浙江制造认证、嘉兴市科学技术进步奖等荣誉。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
